City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,pariaman,-0.619,100.12,25.03,82,100,0.95,ID,1698627051
347,begamganj,23.6,78.3333,17.89,50,63,1.52,IN,1698627051
348,marquette,46.5333,-87.6335,-0.18,65,100,1.34,US,1698627051
349,boguchany,58.3814,97.4531,-7.86,79,12,1.34,RU,1698627051
350,pachora,20.6667,75.35,20.75,51,90,1.57,IN,1698627051
351,dunedin,-45.8742,170.5036,15.45,69,8,2.68,NZ,1698627052
352,qaisumah,28.3112,46.1273,20.98,32,40,0.0,SA,1698627052
353,zapolyarnyy,69.4154,30.8136,-8.4,95,100,1.62,RU,1698627052
354,vila velha,-20.3297,-40.2925,24.97,78,0,5.14,BR,1698627052
355,san salvador,13.6894,-89.1872,23.13,97,100,1.18,SV,1698626740
356,tidjikja,18.5564,-11.4271,27.83,18,4,1.25,MR,1698627052
357,beledweyne,4.7358,45.2036,23.09,90,100,1.64,SO,1698627052
358,minden,52.2833,8.9167,13.12,75,100,8.23,DE,1698627052
359,jutai,-5.1833,-68.9,23.54,98,100,1.52,BR,1698627053
360,abengourou,6.7297,-3.4964,21.99,97,19,0.58,CI,1698627053
